M	226	1001	5	2	
M	228	1001	5	0	
M	230	1001	7	0	
M	232	1001	7	2	
M	234	1001	5	2	
M	236	1001	5	0	
M	238	1001	7	0	
M	240	1001	7	2	
M	242	1001	5	2	
M	244	1001	5	0	
M	246	1001	7	0	
M	248	1001	7	2	
M	250	1001	5	2	
M	252	1001	5	0	
M	254	1001	7	0	
M	256	1001	7	2	
M	258	1001	5	2	
M	260	1001	5	0	
M	262	1001	7	0	
M	264	1001	7	2	
M	266	1001	5	2	
M	268	1001	5	0	
M	270	1001	7	0	
M	272	1001	7	2	
M	274	1001	5	2	
M	276	1001	5	0	
M	278	1001	7	0	
M	280	1001	7	2	
M	282	1001	5	2	
M	284	1001	5	0	
M	286	1001	7	0	
M	288	1001	7	2	
M	290	1001	5	2	
M	292	1001	5	0	
M	294	1001	7	0	
M	296	1001	7	2	
M	298	1001	5	2	
M	300	1001	5	0	
M	302	1001	7	0	
M	304	1001	7	2	
M	306	1001	5	2	
M	308	1001	5	0	
M	310	1001	7	0	
M	312	1001	7	2	
M	314	1001	5	2	
M	316	1001	5	0	
M	318	1001	7	0	
M	320	1001	7	2	
M	322	1001	5	2	
M	324	1001	5	0	
M	326	1001	7	0	
M	328	1001	7	2	
M	330	1001	5	2	
M	332	1001	5	0	
M	334	1001	7	0	
M	336	1001	7	2	
M	338	1001	5	2	
M	340	1001	5	0	
M	342	1001	7	0	
M	344	1001	7	2	
M	346	1001	5	2	
M	348	1001	5	0	
M	350	1001	7	0	
M	352	1001	7	2	
M	354	1001	5	2	
M	356	1001	5	0	
M	358	1001	7	0	
M	360	1001	7	2	
M	362	1001	5	2	
M	364	1001	5	0	
E	1	1001	4	9	{"passed":1}
E	1	1002	5	8	{"passed":1}
E	1	3001	7	7	{"denominator":-1}
E	1	3002	3	11	{"denominator":-1}
E	4	9007	3	6	{"value":0}
E	5	9007	3	6	{"passed":1}
E	6	2001	2	6	{"available":0}
E	6	2001	2	6	{"picked":1}
E	6	2001	2	6	{"passed":1}
E	6	1002	2	6	{"payload":[2001]}
E	8	9008	2	7	{"value":1}
E	8	9010	0	6	{"passed":1}
E	15	9008	2	7	{"value":0}
E	16	9008	2	7	{"passed":1}
E	17	2001	2	6	{"passed":2}
E	19	5002	2	11	{"passed":1}
E	20	9007	3	6	{"value":1}
E	20	9009	2	4	{"passed":1}
E	22	2001	2	6	{"available":1}
E	22	3002	3	11	{"delivered":1}
E	22	3002	3	11	{"passed":1}
E	22	1002	3	11	{"payload":[]}
E	22	1002	3	11	{"delivered":1}
D	22	1002	3	11	{"missed_items":[],"delivered_to":3002,"delivered_items":[2001]}
E	36	5003	5	2	{"passed":1}
E	36	5001	5	4	{"passed":1}
E	45	5003	5	2	{"passed":3}
E	54	5003	5	2	{"passed":4}
E	63	5003	5	2	{"passed":5}
E	72	5003	5	2	{"passed":6}
E	73	1002	5	8	{"passed":2}
E	76	9007	3	6	{"value":0}
E	77	9007	3	6	{"passed":2}
E	78	2001	2	6	{"available":0}
E	78	2001	2	6	{"picked":2}
E	78	2001	2	6	{"passed":3}
E	78	1002	2	6	{"payload":[2001]}
E	80	9008	2	7	{"value":1}
E	80	9010	0	6	{"passed":2}
E	89	5003	5	2	{"passed":7}
E	98	5003	5	2	{"passed":8}
E	98	5002	2	11	{"passed":2}
E	107	2001	2	6	{"available":1}
E	107	3002	3	11	{"delivered":2}
E	107	3002	3	11	{"passed":2}
E	107	5003	5	2	{"passed":9}
E	107	1002	3	11	{"payload":[]}
E	107	1002	3	11	{"delivered":2}
D	107	1002	3	11	{"missed_items":[],"delivered_to":3002,"delivered_items":[2001]}
E	107	0	0	0	{"goals_completed":2}
E	120	1002	5	8	{"passed":3}
E	120	5003	5	2	{"passed":10}
E	131	5003	5	2	{"passed":12}
E	140	5003	5	2	{"passed":13}
E	149	5003	5	2	{"passed":14}
E	158	5003	5	2	{"passed":15}
E	167	5003	5	2	{"passed":16}
E	176	5003	5	2	{"passed":17}
E	185	5003	5	2	{"passed":18}
E	194	5003	5	2	{"passed":19}
E	203	5003	5	2	{"passed":21}
E	212	5003	5	2	{"passed":22}
E	221	5003	5	2	{"passed":23}
E	230	5003	5	2	{"passed":24}
E	239	5003	5	2	{"passed":25}
E	248	5003	5	2	{"passed":26}
E	257	5003	5	2	{"passed":27}
E	266	5003	5	2	{"passed":28}
E	275	5003	5	2	{"passed":30}
E	284	5003	5	2	{"passed":31}
E	293	5003	5	2	{"passed":32}
