03-21-17-15-28-56	MouseMoveS	0	1287.39	875.332	416.6055
03-21-17-15-28-56	MouseMoveV	-0.9967811	1287.607	871.8477	417.3047
03-21-17-15-28-56	MouseMoveV	0.3229518	1287.724	866.625	457.0039
03-21-17-15-28-57	MouseMoveS	0	1288.24	1106.223	538.4961
03-21-17-15-28-57	MouseMoveD	116.489	1288.356	1010.766	605.2617
03-21-17-15-28-57	MouseMoveV	-0.9277549	1288.356	1010.766	605.2617
03-21-17-15-28-57	OnMouseComponent	thread/1001	1288.49	1030.617	674.2188
03-21-17-15-28-57	OutMouseComponent	thread/1001	1288.507	1048.379	689.8906
03-21-17-15-28-57	MouseMoveD	213.5853	1288.574	1177.582	777.3008
03-21-17-15-28-57	tooltip	PlaceButton	1288.64	1247.582	810.7344
03-21-17-15-28-57	MouseMoveD	104.2786	1288.674	1272.656	820.1367
03-21-17-15-28-57	beginHover	trash	1288.69	1285.191	824.3164
03-21-17-15-28-57	tooltip	Trash	1288.69	1285.191	824.3164
03-21-17-15-28-57	endHover	trash	1288.74	1366.336	830.9336
03-21-17-15-28-57	MouseMoveD	145.2396	1288.79	1416.484	840.3359
03-21-17-15-28-58	MouseMoveV	-0.8380919	1289.141	1517.66	850.3906
03-21-17-15-28-58	MouseMoveS	0	1289.606	1475.172	853.875
03-21-17-15-28-59	MouseDown	0	1290.14	1475.172	853.875
03-21-17-15-28-59	ToggleHintsVisibility	True	1290.257	1475.172	853.875
03-21-17-15-28-59	MouseUp	0	1290.257	1475.172	853.875
03-21-17-15-28-59	MouseMoveV	-0.4191079	1290.79	1483.531	835.7656
03-21-17-15-29-00	MouseMoveS	0	1291.09	1508.605	758.4492
03-21-17-15-29-00	MouseMoveV	0.2685283	1291.89	1502.906	755.4492
03-21-17-15-29-01	MouseMoveS	0	1292.207	1499.121	754.4063
03-21-17-15-29-02	MouseMoveV	0	1293.323	1499.121	750.3164
03-21-17-15-29-03	MouseDown	0	1294.356	1482.496	742.4414
03-21-17-15-29-03	MouseMoveS	0	1294.423	1482.496	742.4414
03-21-17-15-29-03	hint	Tracks	1294.473	1482.496	742.4414
03-21-17-15-29-03	MouseUp	0	1294.473	1482.496	742.4414
03-21-17-15-29-09	MouseMoveV	-0.09200301	1299.99	1473.879	738.6563
03-21-17-15-29-10	MouseMoveS	0	1301.107	1262.227	671.0938
03-21-17-15-29-10	MouseDown	0	1301.139	1262.227	671.0938
03-21-17-15-29-10	MouseUp	0	1301.256	1262.227	671.0938
03-21-17-15-29-10	MouseMoveV	-0.9739608	1301.323	1292.348	679.4531
03-21-17-15-29-10	MouseDown	0	1301.756	1491.809	698.6484
03-21-17-15-29-10	hint	Arrows	1301.84	1491.809	698.6484
03-21-17-15-29-10	MouseUp	0	1301.84	1491.809	698.6484
03-21-17-15-29-10	MouseMoveS	0	1301.89	1491.809	698.6484
03-21-17-15-29-11	MouseMoveV	-0.8114399	1302.656	1402.047	684.1133
